questionType,asin,answerTime,unixTime,question,answer,answerType
open-ended,B00002N60O,"Feb 28, 2014",1393574400.0,can anyone let me know height &amp; top diameter dimensions of can? thx!,"The height is 27.25"" and the outer diameter of the top lip is 21""",
yes/no,B00002N60O,"Jul 20, 2013",1374303600.0,will 2 of these fit in a cart? Thanks Mike,"Rubbermaid makes a tandem dolly to hold two of these, but it's crazy expensive (at least for a private homeowner). I don't know about a cart, though. Why don't you compare the measurements to your cart, though? You can even see the can at your local hardware store and measure it there to make sure you're getting the correct measurement at the widest point (which seems to be that flared rim, not the top of the container).",?
open-ended,B00002N60O,"Jan 27, 2014",1390809600.0,What is the recycling # on the bottom of the container?,4,
open-ended,B00002N60O,12 days ago,,What size bags should I use? My 32 Gal Costco drawstring bags have to be stretched over the top.,"We use the ""Hefty"" 33 GAL trash liner bags with cinch tops. Those 33 GAL liners require a slight stretch so they have good purchase around the top of the model Rubbermaid Commercial FG263200GRAY BRUTE Heavy-Duty Round Waste/Utility Container, 32-gallon, Gray Rubbermaid Commercial FG263200GR... I hope it helps. Bill",
open-ended,B00002N60O,"Jan 5, 2015",1420444800.0,Any one used this can for their wood shop dust collection. Just wondering if it is strong enough not to collapse under the suction?,I would think that it would work in that application. Short of a metal drum I can't imagine any poly trash can being more sturdy than this one. It is very heavy gauge material.,
open-ended,B00002N60O,"Dec 17, 2014",1418803200.0,Can I put another one inside this and will this fit this http://www.amazon.com/dp/B003HERK5E/r...,"Yes you can put another one inside this one plus the round dolly will fit it to, It works out nice I out a bag in it an pick up thing then bag it up",
open-ended,B00002N60O,"Nov 30, 2014",1417334400.0,Can anyone tell me about how many filled kitchen trash bags might fit in here? Thanks!,3,
open-ended,B00002N60O,"Oct 14, 2014",1413270000.0,"What is the diameter at the bottom of the can? I have a 30 gallon drum dolly that I want to set it into, and it measures 19.25"" dia. on the inside.",The diameter of the bottom of the can is 17.5 inches.,
open-ended,B00002N60O,"Dec 6, 2013",1386316800.0,What is the diameter at the bottom of the barrel?,"18.25""",
open-ended,B00002N60G,"Jul 25, 2014",1406271600.0,is this a sponge or is it the one that has to be soaked before use?,"Yes, it must be soaked for only 60 seconds. I soak it a bit longer........easier on my arthritis when I wring it out. I love this sponge because it pretty much squeegees the floor.......virtually no drying time needed. Those other mops that have those cellulose sponges just smear the water around the floor, and take forever to dry. This one also has deep grooves, which grab the dirt instead of moving it back and forth. I love this mop!",
yes/no,B00002N60G,"Jun 24, 2013",1372057200.0,Is there a way to prevent the handle from collapsing?,"If you figure it out, let me know! Frustrating to say the least!",?
open-ended,B00002N60G,"Oct 16, 2014",1413442800.0,how do you get the cellophane off when using a new mop?,"There are still a few little pieces...i didn't use a pair of scissors, just kind of peeled it off as best as I could...not sure it matters that there are a few very small areas where there are still cellophane",
yes/no,B00002N60G,"Dec 26, 2013",1388044800.0,has anyone tried this on hardwood floors,"Yes, I've used it with Murphy oiled soap and it's great.",Y
