original,regular,Enhanced,Azure,AWS,Google_regular_letter,Google_Enhanced_letter,Azure_letter,AWS_letter,Google_regular_word,Google_Enhanced_word,Azure_word,AWS_word
at ey you need to own your performance nina and make sure to be proactive in communicating when you re not able to deliver on agreed upon timelines  what you think should have been done to prevent this from happening ,error you need to own your performance nina  mixture to be proactive in communicating  should have been done to prevent this from happening  ,eat why you need to own your performance  nina and make sure to be proactive in communicating when you re not able to deliver on agreed upon  timelines what you think should have been done to prevent this from happening ,and eat why you need to own your performance  nina and make sure to be proactive in communicating when you re not able to deliver on agreed upon timelines what you think should have been done to prevent this from happening ,and eat why you need to own your performance nina and make sure to be proactive in communicating when you re not able to deliver an agreed upon timelines  what you think should have been done to prevent this from happening ,74.30167598,92.90617849,96.81818182,96.81818182,52.5,95,95,92.5
nina you re still responsible for the outcome and for hitting the deadlines  what do you think you should do differently the next time when a similar situation occurs ,nina you re still responsible for the outcome and for hitting the deadlines  what do you think you should do differently  the next time when a similar situation occurs  ,nina  you re still responsible for the outcome and for hitting the deadlines what do you think you should do differently the next time when a similar situation occurs ,nina  you re still responsible for the outcome and for hitting the deadlines what do you think you should do differently the next time when a similar situation occurs ,nina you re still responsible for the outcome and for hitting the deadlines  what do you think you should do differently the next time when a similar situation occurs ,99.4047619,99.4011976,99.4011976,100,100,100,100,100
of course  you also has work from home and well being tips and i ll help you navigate these and then we can set up touch points to continue to track progress ,of course you also have work from home in mobile  ,of course  you also has work from home and well being  tips  and i ll help you navigate these  and then we can set up touch points to continue to track progress ,of course  you also has worked from home and well being tips and i ll help you navigate these and then we can set up touch points to continue to track progress ,of course  you also has worked from home and wellbeing tips  and i ll help you navigate these and then we can set up touch points to continue to track progress ,43.26923077,99.05956113,99.37106918,98.74213836,21.875,100,96.875,90.625
heroes thank you for spending time with me  i understand that you feel that you delivered some really good deliverables off the past few year and you think you are ready for the next level  however  i need some more details to understand how you really should make yourself different from some of your peers and some of the other people at the same level right  so i really need you to elaborate on some of the quality aspects of the deductibles that you worked on for the last year  i also need to understand more details on how you contributed towards other areas like business development building a best practices and things like that ,hero thank you for spending time with me i understand what you feel that you deliver some really good delivers off the past year  you think you re ready for the next level  however i need some more details understand how you really should make us a different some of your peers and some of the other people the same level right  so i really need you to elaborate on some of the quality aspect of the deductible that you worked on for the last year  i ll smith understand more details on how you contributed towards other areas like business development building a best practices and things like that  ,heroes  thank you for spending time with me  i understand that you feel that you deliver some really good delivers out the past year you think you re ready for the next level however  i need some more details  understand how you really should make yourself different  some of your peers and some of the other people at the same level  right so  i really need you to elaborate on some of the quality aspects of the deductibles that you worked on for the last year ask me to understand more details on how you contributed towards other areas like business development  building a best practices and things like that ,heroes  thank you for spending time with me  i understand that you feel that you deliver some really good deliveries off the past year do you think you re ready for the next level however  i need some more details  understand how you really should make yourself different  some of your peers and some of the other people at the same level  right so i really need you to elaborate on some of the quality aspects of the deductibles that you worked on for the last year ask me to understand more details on how you contributed towards other areas like business development  building a best practices and things like that ,heroes thank you for spending time with me  i understand that you feel that you deliver some really good deliveries off the past year and you think you re ready for the next level  however  i need some more details  understand how you really should make yourself different  some of your peers and some of the other people at the same level  right  so i really need you to elaborate on some of the quality aspects of the deductibles that you worked on for the last year  also need to understand more details on how you contributed towards other areas like business development building and best practices and things like that ,17.09677419,19.63288109,19.57040573,19.46202532,80.86956522,87.82608696,89.56521739,91.30434783
hi rose  i appreciate you taking the time to chat with me as well   i definitely understand that you feel you re ready to be promoted to manager  and i understand that you feel you ve done a great job on this project   let s talk a little more about you know  are your expectations versus how you ve done on the project and how you ve done in general and we ll take it from there ,hi rose i appreciate you taking the time to chat with me as well  i definitely understand that you feel you re ready to be promoted to manager  and i understand you feel you ve done a great job on this project  that s like little bit more about you know  are you expectations versus how you done the project now you ve done the general will take it from there  ,hi rose  i appreciate you taking the time to chat with me as well i definitely understand that you feel  you re ready to be promoted to manager and i understand that you feel you ve done a great job on this project it s like a little bit more about  you know are you expectations versus how you ve done in the project and how you ve done it  general will take it from there ,hi rose  i appreciate you taking the time to chat with me as well i definitely understand you feel your ready to be promoted to manager and i understand you feel you ve done a great job on this project let s talk a little bit more about you know are you expectations versus how you ve done in the project and how you ve done  in general  we ll take it from there ,hi rose  i appreciate you taking the time to chat with me as well  i definitely understand you feel you re ready to be promoted to manager and i understand you feel you ve done a great job on this project  let s talk a little bit more about  you know  our your expectations versus how you ve done in the project  how you ve done in general  we ll take it from there ,81.51147099,87.26790451,88.02153432,89.0080429,81.81818182,88.31168831,89.61038961,92.20779221
hey rose  first of all  super excited to hear that you re thinking about taking the next step and looking for promotion to make manager  so that s certainly a big milestone in your career  and so i think there s just a few things we need to discuss and so in order for me to make the best business case for you to get promoted i d like you to tell me a little bit more about why you think you deserve this promotion ,hey rose first of all super exciting that you thinking about taking the next uplift promotion make manager  pleasantly big mouth on your career  that s why i think there s just a few things we need to discuss and so in order for me to make the best business case for you to get promoted  i like you to tell me a little bit more about why you think you deserve this remote  error ,hey rose  first of all  super excited to hear that you thinking about taking the next step and look for motion to make manager so that s certainly a big mouse on your career so i think there s just a few things we need to discuss  and so  in order for me to make the best business case for you to get promoted i like you to tell me a little bit more about why you think you deserve this promotion ,hey rose  first of all  super excited that you re thinking about taking the next step and look for a motion to make manage so that s certainly a big mouse on your career and so i think there s just a few things we need to discuss  and so in order for me to make the best business case for you to get promoted i like you to tell me a little bit more about why you think you deserve this promotion ,hey rose  first of all  super excited that you re thinking about taking the next step  promotion to make manager  so that s certainly a big milestone in your career  and so i think there s just a few things we need to discuss  and so in order for me to make the best business case for you to get promoted  i d like you to tell me a little bit more about why you think you deserve this promotion ,21.88679245,28.04428044,26.84729064,77.92848335,75.29411765,90.58823529,88.23529412,94.11764706
that s very understandable  and i think all of us including myself are experiencing a lot of different things in our lives and different difficulties as a result of this pandemic  so thank you for telling me  i appreciate that ,that s very understandable  i think all of us including myself are experiencing a lot of different things in our lives  i really appreciate that  error ,that s very understandable i think all of us including myself are experiencing a lot of different things in our lives and the front of cookies  as a result of this pandemic  so thank you for telling me  i really appreciate that ,that s very understandable i think all of us  including myself  are experiencing a lot of different things in our lives and different difficulties as a result of this pandemic  so thank you for telling me  i really appreciate that ,that s very understandable  i think all of us  including myself  are experiencing a lot of different things in our lives and different difficulties as a result of this pandemic  so thank you for telling me  i really appreciate that ,75.98944591,80.87912088,89.95633188,90.19607843,60,92.5,97.5,97.5
yeah  but this is your job trying to figure this out  i mean stop complaining and just do it ,yeah  see your job trying to figure this out i mean stop complaining and just do it  ,yeah  butsee your job trying to figure this out for me and stop complaining and just do it ,yeah  but see your job trying to figure this out  i mean  stop complaining and just do it ,yeah  but your job trying to figure this out  i mean stop complaining and just do it ,92.13483146,91.30434783,95.08196721,95.50561798,84.21052632,73.68421053,89.47368421,89.47368421
i fully understand ryan  i think everyone is going through the same situation if it s not similar challenges  it s something different  how can i help ,i fully understand  i think i m going through the same situation if it s not somewhere challenges it s something different how can i help  error ,i fully understand i think everyone s going through the same situation if it s not similar challenges  it s something different  how can i help ,i fully understand right i think everyone is going through the same situation if it s not similar challenges  it s something different  how can i help ,i fully understand ryan  i think everyone s going through the same situation  if it s not similar challenges  it s something different  how can i help  mhm ,87.83783784,97.62711864,97.35099338,97.71986971,85.18518519,92.59259259,96.2962963,96.2962963
hi rose  thanks for meeting with me today  so i understand you d like to move up to a manager  you know  they ll tell me a little bit more about how you feel you perform in this project perhaps  you know  highlighting some of the your pranks and and then do you think there were any opportunities for you to grow or contribute in different way  ,heidel  thanks for meeting with me today so i understand you would like to move up to a manager  you know they will tell me a little bit more about how you feel you perform in this project  abs  you know highlighting some of to your pranks and and then do you think that would enable percentage for you to grow her contribution different way  ,hi rose thanks for meeting with me today  so i understand you would like to move up to manager you know  they will tell me a little bit more about how you feel you perform in this project you know  highlighting some of the your pranks and and then do you think there were any opportunities for you to grow or contribute in different way ,hi rose thanks for meeting with me today so i understand you would like to move up to a manager you know they will tell me a little bit more about how you feel you perform in this project perhaps you know  highlighting some of your pranks and and then do you think there are any opportunities for you to grow or contribute in different way ,hi does  thanks for meeting with me today  so i understand you would like to move up to a manager  you know  they will tell me a little bit more about how you feel you perform in this project  perhaps  you know  highlighting some of your pranks and and then do you think there are any opportunities for you to grow or contribute in different ways ,34.59302326,74.48680352,55.76642336,55.78034682,80.59701493,94.02985075,94.02985075,91.04477612
thanks for letting me know your your thoughts on the engagement and that you think you re ready to be promoted to manager  can you elaborate a little bit on why you think you re ready to be promoted to manager  ,thanks for letting me know your thoughts on the engagement and that you think you already to be promoted to manager  can you lower it a little bit on why you think you are ready to be promoted to manager  ,thanks for letting me know your thoughts on the engagement and that you think you are ready to be promoted to manager can you elaborate a little bit on  why you think you are ready to be promoted to manager ,thanks for letting me know your your thoughts on engagement and that you think you are ready to be promoted to manager can you elaborate a little bit on why you think you are ready to be promoted to manager ,thanks for letting me know your  your thoughts on the engagement and that you think you are ready to be promoted to manager  can you elaborate a little bit on why you think you are ready to be promoted to manager ,71.63461538,97.6076555,81.81818182,99.05660377,87.80487805,92.68292683,92.68292683,95.12195122
