original,regular,Enhanced,Azure,AWS,Google_regular_letter,Google_Enhanced_letter,Azure_letter,AWS_letter,Google_regular_word,Google_Enhanced_word,Azure_word,AWS_word
at ey you need to own your performance nina and make sure to be proactive in communicating when you re not able to deliver on agreed upon timelines  what you think should have been done to prevent this from happening ,error you need to own your performance nina  mixture to be proactive in communicating  should have been done to prevent this from happening  ,eat why you need to own your performance  nina and make sure to be proactive in communicating when you re not able to deliver on agreed upon  timelines what you think should have been done to prevent this from happening ,and eat why you need to own your performance  nina and make sure to be proactive in communicating when you re not able to deliver on agreed upon timelines what you think should have been done to prevent this from happening ,and eat why you need to own your performance nina and make sure to be proactive in communicating when you re not able to deliver an agreed upon timelines  what you think should have been done to prevent this from happening ,74.30167597765363,92.90617848970251,96.81818181818181,96.81818181818181,52.5,95.0,95.0,92.5
nina you re still responsible for the outcome and for hitting the deadlines  what do you think you should do differently the next time when a similar situation occurs ,nina you re still responsible for the outcome and for hitting the deadlines  what do you think you should do differently  the next time when a similar situation occurs  ,nina  you re still responsible for the outcome and for hitting the deadlines what do you think you should do differently the next time when a similar situation occurs ,nina  you re still responsible for the outcome and for hitting the deadlines what do you think you should do differently the next time when a similar situation occurs ,nina you re still responsible for the outcome and for hitting the deadlines  what do you think you should do differently the next time when a similar situation occurs ,99.40476190476191,99.40119760479041,99.40119760479041,100.0,100.0,100.0,100.0,100.0
of course  you also has work from home and well being tips and i ll help you navigate these and then we can set up touch points to continue to track progress ,of course you also have work from home in mobile  ,of course  you also has work from home and well being  tips  and i ll help you navigate these  and then we can set up touch points to continue to track progress ,of course  you also has worked from home and well being tips and i ll help you navigate these and then we can set up touch points to continue to track progress ,of course  you also has worked from home and wellbeing tips  and i ll help you navigate these and then we can set up touch points to continue to track progress ,43.269230769230774,99.05956112852664,99.37106918238993,98.74213836477988,21.875,100.0,96.875,90.625
heroes thank you for spending time with me  i understand that you feel that you delivered some really good deliverables off the past few year and you think you are ready for the next level  however  i need some more details to understand how you really should make yourself different from some of your peers and some of the other people at the same level right  so i really need you to elaborate on some of the quality aspects of the deductibles that you worked on for the last year  i also need to understand more details on how you contributed towards other areas like business development building a best practices and things like that ,hero thank you for spending time with me i understand what you feel that you deliver some really good delivers off the past year  you think you re ready for the next level  however i need some more details understand how you really should make us a different some of your peers and some of the other people the same level right  so i really need you to elaborate on some of the quality aspect of the deductible that you worked on for the last year  i ll smith understand more details on how you contributed towards other areas like business development building a best practices and things like that  ,heroes  thank you for spending time with me  i understand that you feel that you deliver some really good delivers out the past year you think you re ready for the next level however  i need some more details  understand how you really should make yourself different  some of your peers and some of the other people at the same level  right so  i really need you to elaborate on some of the quality aspects of the deductibles that you worked on for the last year ask me to understand more details on how you contributed towards other areas like business development  building a best practices and things like that ,heroes  thank you for spending time with me  i understand that you feel that you deliver some really good deliveries off the past year do you think you re ready for the next level however  i need some more details  understand how you really should make yourself different  some of your peers and some of the other people at the same level  right so i really need you to elaborate on some of the quality aspects of the deductibles that you worked on for the last year ask me to understand more details on how you contributed towards other areas like business development  building a best practices and things like that ,heroes thank you for spending time with me  i understand that you feel that you deliver some really good deliveries off the past year and you think you re ready for the next level  however  i need some more details  understand how you really should make yourself different  some of your peers and some of the other people at the same level  right  so i really need you to elaborate on some of the quality aspects of the deductibles that you worked on for the last year  also need to understand more details on how you contributed towards other areas like business development building and best practices and things like that ,17.096774193548388,19.632881085395052,19.570405727923628,19.462025316455698,80.8695652173913,87.82608695652175,89.56521739130436,91.30434782608695
hi rose  i appreciate you taking the time to chat with me as well   i definitely understand that you feel you re ready to be promoted to manager  and i understand that you feel you ve done a great job on this project   let s talk a little more about you know  are your expectations versus how you ve done on the project and how you ve done in general and we ll take it from there ,hi rose i appreciate you taking the time to chat with me as well  i definitely understand that you feel you re ready to be promoted to manager  and i understand you feel you ve done a great job on this project  that s like little bit more about you know  are you expectations versus how you done the project now you ve done the general will take it from there  ,hi rose  i appreciate you taking the time to chat with me as well i definitely understand that you feel  you re ready to be promoted to manager and i understand that you feel you ve done a great job on this project it s like a little bit more about  you know are you expectations versus how you ve done in the project and how you ve done it  general will take it from there ,hi rose  i appreciate you taking the time to chat with me as well i definitely understand you feel your ready to be promoted to manager and i understand you feel you ve done a great job on this project let s talk a little bit more about you know are you expectations versus how you ve done in the project and how you ve done  in general  we ll take it from there ,hi rose  i appreciate you taking the time to chat with me as well  i definitely understand you feel you re ready to be promoted to manager and i understand you feel you ve done a great job on this project  let s talk a little bit more about  you know  our your expectations versus how you ve done in the project  how you ve done in general  we ll take it from there ,81.5114709851552,87.26790450928382,88.02153432032301,89.00804289544236,81.81818181818183,88.31168831168831,89.6103896103896,92.20779220779221
hey rose  first of all  super excited to hear that you re thinking about taking the next step and looking for promotion to make manager  so that s certainly a big milestone in your career  and so i think there s just a few things we need to discuss and so in order for me to make the best business case for you to get promoted i d like you to tell me a little bit more about why you think you deserve this promotion ,hey rose first of all super exciting that you thinking about taking the next uplift promotion make manager  pleasantly big mouth on your career  that s why i think there s just a few things we need to discuss and so in order for me to make the best business case for you to get promoted  i like you to tell me a little bit more about why you think you deserve this remote  error ,hey rose  first of all  super excited to hear that you thinking about taking the next step and look for motion to make manager so that s certainly a big mouse on your career so i think there s just a few things we need to discuss  and so  in order for me to make the best business case for you to get promoted i like you to tell me a little bit more about why you think you deserve this promotion ,hey rose  first of all  super excited that you re thinking about taking the next step and look for a motion to make manage so that s certainly a big mouse on your career and so i think there s just a few things we need to discuss  and so in order for me to make the best business case for you to get promoted i like you to tell me a little bit more about why you think you deserve this promotion ,hey rose  first of all  super excited that you re thinking about taking the next step  promotion to make manager  so that s certainly a big milestone in your career  and so i think there s just a few things we need to discuss  and so in order for me to make the best business case for you to get promoted  i d like you to tell me a little bit more about why you think you deserve this promotion ,21.88679245283019,28.044280442804425,26.84729064039409,77.92848335388409,75.29411764705883,90.58823529411765,88.23529411764706,94.11764705882352
that s very understandable  and i think all of us including myself are experiencing a lot of different things in our lives and different difficulties as a result of this pandemic  so thank you for telling me  i appreciate that ,that s very understandable  i think all of us including myself are experiencing a lot of different things in our lives  i really appreciate that  error ,that s very understandable i think all of us including myself are experiencing a lot of different things in our lives and the front of cookies  as a result of this pandemic  so thank you for telling me  i really appreciate that ,that s very understandable i think all of us  including myself  are experiencing a lot of different things in our lives and different difficulties as a result of this pandemic  so thank you for telling me  i really appreciate that ,that s very understandable  i think all of us  including myself  are experiencing a lot of different things in our lives and different difficulties as a result of this pandemic  so thank you for telling me  i really appreciate that ,75.98944591029023,80.87912087912088,89.95633187772926,90.19607843137256,60.0,92.5,97.5,97.5
yeah  but this is your job trying to figure this out  i mean stop complaining and just do it ,yeah  see your job trying to figure this out i mean stop complaining and just do it  ,yeah  butsee your job trying to figure this out for me and stop complaining and just do it ,yeah  but see your job trying to figure this out  i mean  stop complaining and just do it ,yeah  but your job trying to figure this out  i mean stop complaining and just do it ,92.13483146067416,91.30434782608695,95.08196721311475,95.50561797752809,84.21052631578947,73.68421052631578,89.47368421052632,89.47368421052632
i fully understand ryan  i think everyone is going through the same situation if it s not similar challenges  it s something different  how can i help ,i fully understand  i think i m going through the same situation if it s not somewhere challenges it s something different how can i help  error ,i fully understand i think everyone s going through the same situation if it s not similar challenges  it s something different  how can i help ,i fully understand right i think everyone is going through the same situation if it s not similar challenges  it s something different  how can i help ,i fully understand ryan  i think everyone s going through the same situation  if it s not similar challenges  it s something different  how can i help  mhm ,87.83783783783784,97.6271186440678,97.35099337748345,97.71986970684038,85.18518518518519,92.5925925925926,96.29629629629629,96.29629629629629
hi rose  thanks for meeting with me today  so i understand you d like to move up to a manager  you know  they ll tell me a little bit more about how you feel you perform in this project perhaps  you know  highlighting some of the your pranks and and then do you think there were any opportunities for you to grow or contribute in different way  ,heidel  thanks for meeting with me today so i understand you would like to move up to a manager  you know they will tell me a little bit more about how you feel you perform in this project  abs  you know highlighting some of to your pranks and and then do you think that would enable percentage for you to grow her contribution different way  ,hi rose thanks for meeting with me today  so i understand you would like to move up to manager you know  they will tell me a little bit more about how you feel you perform in this project you know  highlighting some of the your pranks and and then do you think there were any opportunities for you to grow or contribute in different way ,hi rose thanks for meeting with me today so i understand you would like to move up to a manager you know they will tell me a little bit more about how you feel you perform in this project perhaps you know  highlighting some of your pranks and and then do you think there are any opportunities for you to grow or contribute in different way ,hi does  thanks for meeting with me today  so i understand you would like to move up to a manager  you know  they will tell me a little bit more about how you feel you perform in this project  perhaps  you know  highlighting some of your pranks and and then do you think there are any opportunities for you to grow or contribute in different ways ,34.593023255813954,74.48680351906158,55.76642335766423,55.78034682080924,80.59701492537313,94.02985074626866,94.02985074626866,91.04477611940298
