,Learner's transcript,Questions
0,"Hi Rose. Thanks for sharing. You know, thanks for taking the time to meet with me and share your interest in wanting to get promoted. So could you elaborate a little more about you know, why you think you're ready to be manager?","[""so could you elaborate a little more about you know, why you think you're ready to be manager?""]"
1,Hi Rose. I'm glad that we have a a chance to talk. I I'd like to know a little bit more about how you feel. You contributed to the team for the project for the client off. Just wondering if you got some feedback from the client or can you tell me a little bit more about what part? of the client work you participated in and and tell me a little bit more about how you feel that your You did a good job and what your strengths are.,['just wondering if you got some feedback from the client or can you tell me a little bit more about what part?']
2,Thank you Rose for sharing that your fuel you're doing well so far for an engagement and you are ready for the promotion. Could you tell me more about why you think you'll be a good fit and ready for promotion this year?,"[""could you tell me more about why you think you'll be a good fit and ready for promotion this year?""]"
3,Thanks for sharing this I heard there's some you know situation or there's a room that you could improve in terms of elaboration and opportune details. Are you aware of any of that? And could you help me more understanding the feedback received from others and you think anything you could improve on to be a manager?,"['are you aware of any of that?', 'and could you help me more understanding the feedback received from others and you think anything you could improve on to be a manager?']"
4,"Hi Rose, it's always a pleasure to meet and talk about performance and expectations. What I hear you saying is you feel like you did a really good job on the most recent work and that the client was really happy with what you turned in. I also hear that you're looking to be progressed into a manager position this year. Is that right? Did I capture that correctly wage?","['is that right?', 'did i capture that correctly wage?']"
5,You have been doing really great work this year Rose and I appreciate all the efforts you made to supporting me and the client. Why do you think that you're ready to be promoted this year? Can you elaborate on what specific projects think make you promotion ready?,"[""why do you think that you're ready to be promoted this year?"", 'can you elaborate on what specific projects think make you promotion ready?']"
6,"So Rose, I hear you say you think you're ready for permission to manage your I'd like to just take a minute and if you could think about what is it that you think went really? Well, why do you think a client was so happy with your work? What? What is it that you think is is got you prepared for this promotion to manager.","[""so rose, i hear you say you think you're ready for permission to manage your i'd like to just take a minute and if you could think about what is it that you think went really?"", 'well, why do you think a client was so happy with your work?', 'what?']"
7,"Rose can you tell me a little bit about what you think went? Well on the engagement, why do you seem convinced that the client was really happy with your work? What ways do you think that that repairs you for the manager role?","['rose can you tell me a little bit about what you think went?', 'well on the engagement, why do you seem convinced that the client was really happy with your work?', 'what ways do you think that that repairs you for the manager role?']"
8,Excellent. Could you elaborate on some of the points that you feel have set you up for success and deserving a promotion?,['could you elaborate on some of the points that you feel have set you up for success and deserving a promotion?']
9,"Heroes thank you for spending time with me. I understand that you feel that you delivered some really good deliverables off the past few year and you think you are ready for the next level. However, I need some more details to understand how you really should make yourself different from some of your peers and some of the other people at the same level right? So I really need you to elaborate on some of the quality aspects of the deductibles that you worked on for the last year. I also need to understand more details on how you contributed towards other areas like Business Development building a best practices and things like that.","['however, i need some more details to understand how you really should make yourself different from some of your peers and some of the other people at the same level right?']"
10,Heroes I'm definitely happy to hear that but I really want to get some more details from you. Right? I understand that month. You'll you've given some really good deliverables have seen some of those. Can you elaborate some of the key deliverables that you worked on and how you think about like that stand above some of the other things that some of your peers have delivered and I would also like to understand how you've contributed towards other areas like Business Development or other initiatives or other key assets that you worked on right? I really want to get to the bottom of those details before we can take this conversation. First name.,"[""can you elaborate some of the key deliverables that you worked on and how you think about like that stand above some of the other things that some of your peers have delivered and i would also like to understand how you've contributed towards other areas like business development or other initiatives or other key assets that you worked on right?""]"
11,Rose thank you for feedback and I'm glad that you think that you did really well and engagement and the client was happy with you. But if I think take everything into perspective thought that you feedback from the T-Mobile has been you struggled. Would there be any reason why the team will think that you struggle in the engagement when you you think you did really well?,['would there be any reason why the team will think that you struggle in the engagement when you you think you did really well?']
12,"Thank you Rose. So I hear use understand. Did you think it did really good job, and that the client is very very happy with it to work and can you elaborate on that a little bit and maybe provide some examples for situations where your client with a client was happy?","['did you think it did really good job, and that the client is very very happy with it to work and can you elaborate on that a little bit and maybe provide some examples for situations where your client with a client was happy?']"
13,Whereas I agree I enjoyed working on the engagement with you as well. And I do believe the client did enjoy the deliverables. I hear that you would like to become manager this way here. Why do you think that you are ready for that promotion? And what have chins have you taken so far to realize and act upon that goal?,"['why do you think that you are ready for that promotion?', 'and what have chins have you taken so far to realize and act upon that goal?']"
14,"His orders, right? Yeah, it's not there's something wrong on the order so they were going to the","['his orders, right?']"
15,Hi Rose. Thank you for bringing this to my attention. So if I'm hearing you right based on your performance on our last engagement and based on your belief that the client was satisfied with your deliverables and with your work you believe that you are up for promotion this year. Can you tell me a little bit more about the other projects you've been working on in your performance with those?,"[""can you tell me a little bit more about the other projects you've been working on in your performance with those?""]"
16,"Hi Rose, thank you for thank you for also bringing this to my attention. Let me just reflect what I heard from you. We did have a project together and you believed based on your performance and the deliverables and the fact that the client was satisfied that you're ready to go up for promotion within the next year. Is that correct?",['is that correct?']
17,"Hi Rose. Thank you for your feedback. If I'm hearing you, right you think that you're should be a promotion that you did a particularly good job on the client with me and that you believe that the client was really satisfied. Is that correct?",['is that correct?']
18,Thanks for those for sharing how you feel about this engagement. So you think you're ready for promotions manager? Can you elaborate on some of the ways that you think you're ready to take on this role?,"[""can you elaborate on some of the ways that you think you're ready to take on this role?""]"
19,Thanks for sharing all of this information with me. Can you help me understand? What areas that you think the client was really particularly happy with and what deliverables do you think you excelled in? I'd like understand how these reflect your promotion to manager.,"['can you help me understand?', 'what areas that you think the client was really particularly happy with and what deliverables do you think you excelled in?']"
20,Heroes I'm glad that you feel like your performance with the client went over really. Well. I understand. You want to you're looking forward to a promotion tell me more about where you think you are at your current Rank and what has you ready for that next step?,"[""you want to you're looking forward to a promotion tell me more about where you think you are at your current rank and what has you ready for that next step?""]"
21,"Gyros and I'm glad that you're proud of the the your performance so far this year when we think about going to the next level, what do you think are some things that you need to focus on in order to help you get there?","[""gyros and i'm glad that you're proud of the the your performance so far this year when we think about going to the next level, what do you think are some things that you need to focus on in order to help you get there?""]"
22,"Let's talk about your performance. So as you are as a manager as you're up for promotion, you have to be self-aware of a where you are doing a good job and where you're laughing. So what do you think your performance was? Do you think there was any qualms that the engagement leaders or your team has about your performance?","['so what do you think your performance was?', 'do you think there was any qualms that the engagement leaders or your team has about your performance?']"
23,"Yeah, no problem Rose. Now when you say that you did a good job on the engagement while working with me. Would you be able to list out the accomplishments that you had on that engagement? What exactly were you achievements what it accomplished home? And what makes you think that you're ready for the next role?","['would you be able to list out the accomplishments that you had on that engagement?', 'what exactly were you achievements what it accomplished home?', ""and what makes you think that you're ready for the next role?""]"
24,I hear you're wanting to promote to manager. Can you tell me what specific actions that you've taken that have you ready for this level?,"[""can you tell me what specific actions that you've taken that have you ready for this level?""]"
25,You said you did a good job. Can you tell me what specific actions that you feel were manager-level?,['can you tell me what specific actions that you feel were manager-level?']
