,Learner's transcript,Sentimental Label,Label By Word,Words
0,"Hey Rose, first of all, super excited to hear that you're thinking about taking the next step and looking for promotion to make manager. So that's certainly a big milestone in your career. And so I think there's just a few things we need to discuss and so in order for me to make the best business case for you to get promoted wage like you to tell me a little bit more about why you think you deserve this promotion.",Neutral,Positive,{'super'}
1,"Hey Rose, first of all, thanks so much for coming forward and really appreciate you kind of telling me what you want. And so in order to be promoted to the next rank. I think there's still some considerations that we need to discuss and I'll need to make a really solid business case for you. So first of all, just what can you tell me that will help me support your case.",Neutral,Positive,{'kind'}
2,Rose thank you again for taking some time to speak here today. So you mentioned that you feel you're ready for a promotion to manage or can you see Rome some of the areas are reasons why you feel as if this next step is the right time right now.,Neutral,Positive,"{'now', 'right', 'ready'}"
3,Rose thank you again for taking the time to meet here today and sharing your expectations regarding being promoted looking back on your performance during the project. You mentioned that you did really well. Can you share more specific areas where you thought you did really well as well as maybe some areas you thought you could improve.,Neutral,Positive,{'well'}
4,"Hi Rose. Thanks for sharing. You know, thanks for taking the time to meet with me and share your interest in wanting to get promoted. So could you elaborate a little more about you know, why you think you're ready to be manager?",Neutral,Positive,{'ready'}
5,Gross. Thanks for taking the time to meet with me and for sharing your your interest in getting promoted. So can you share with me a little bit more about you know what you'd like to do.,Neutral,Negative,{'gross'}
6,"A rose. I'm so glad that we took the time to you know, just touch base and and hear what you had to say about your performance and whatnot. Wanted to ask you. So I hear that you want to get promoted. What do you think that you did exceptionally well or areas that you could have improved on in this engagement.",Neutral,Positive,{'well'}
7,So you think you're ready for promotion?,Neutral,Positive,{'ready'}
8,"Hey Rose, thanks for taking time to connect on my end. But I'd like to understand is you know, you said that overall the client was really happy and you feel like you did good work. Could you elaborate a little bit down on what areas you think were you're strong you're strong points of where you deliver to high quality and why that you know that particular aspect is deserving of a promotion. I want to make sure that we're looking at your performance as a whole, you know, not just this one engagement but using this as an example, let's understand your strengths from your perspective.",Neutral,Negative,{'not'}
9,"Hi Rose, I'm glad we have a chance to talk. I understand that you feel that. You did a real good job on the client project and I'd like to hear a little bit more about your contributions. And and and just how you feel that that you did a good job with the client. Just you know, any feedback that you can give me about some things you heard may also, you know, I'd like to talk to you a little bit more about why you believe that you're ready for promotion. I think it's important to kind of understand where you're at from your perspective so I can give you a mind perspective as well.",Neutral,Positive,"{'ready', 'good', 'well', 'believe', 'kind'}"
